               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046274,            0.030393,           0.0086581,              0.7789,             0.62291,             0.70151,             0.37276,            0.039367,            0.021792,           0.0062739,             0.00769,             0.00769,             0.00769
                  37,            0.045264,            0.030464,           0.0073858,             0.83463,             0.61518,             0.68393,             0.37656,             0.03912,            0.020988,           0.0069202,            0.007624,            0.007624,            0.007624
                  38,            0.045699,            0.029995,           0.0070765,             0.80922,             0.65086,             0.71715,             0.36499,            0.039233,             0.02023,           0.0063129,            0.007558,            0.007558,            0.007558
                  39,              0.0447,            0.029527,           0.0071885,               0.826,             0.64805,             0.73844,             0.39007,            0.038231,            0.020576,           0.0058823,            0.007492,            0.007492,            0.007492
                  40,            0.045746,            0.030174,           0.0071776,             0.81921,             0.61106,             0.67927,             0.34086,            0.040274,            0.021098,           0.0078435,            0.007426,            0.007426,            0.007426
                  41,            0.045946,            0.033754,           0.0074568,             0.81595,             0.66533,             0.72714,             0.38022,            0.038946,            0.020612,           0.0066712,             0.00736,             0.00736,             0.00736
                  42,            0.044229,            0.029992,           0.0071122,             0.80093,             0.69053,             0.73497,             0.39195,            0.038366,            0.020468,           0.0064079,            0.007294,            0.007294,            0.007294
                  43,            0.043431,            0.028639,           0.0069941,             0.81709,             0.67012,             0.73576,             0.37488,            0.040525,            0.019855,           0.0064447,            0.007228,            0.007228,            0.007228
                  44,            0.044361,            0.029445,           0.0071948,             0.82393,             0.65365,             0.72481,             0.41164,            0.036304,            0.020091,           0.0059155,            0.007162,            0.007162,            0.007162
                  45,            0.041674,            0.030429,            0.006439,             0.76393,             0.68703,             0.73571,             0.40028,            0.037125,              0.0203,           0.0058527,            0.007096,            0.007096,            0.007096
                  46,            0.042946,            0.028545,           0.0061928,             0.81023,             0.65416,             0.72526,             0.38313,            0.037397,            0.020231,           0.0073257,             0.00703,             0.00703,             0.00703
                  47,            0.043528,            0.030576,           0.0068958,             0.78629,             0.69174,             0.74054,              0.4001,             0.03681,            0.019895,           0.0062415,            0.006964,            0.006964,            0.006964
                  48,            0.042443,            0.029282,           0.0063334,              0.8248,             0.65115,             0.71789,             0.39719,            0.038237,             0.02077,            0.007141,            0.006898,            0.006898,            0.006898
                  49,            0.042075,            0.028547,           0.0060747,             0.82479,             0.68114,             0.73524,             0.38381,            0.039204,            0.019602,           0.0059592,            0.006832,            0.006832,            0.006832
                  50,            0.042072,             0.02794,           0.0065146,             0.83476,             0.68902,             0.75258,             0.41909,            0.035891,            0.019752,           0.0056469,            0.006766,            0.006766,            0.006766
                  51,            0.041077,            0.027293,           0.0058228,             0.83489,              0.6976,              0.7601,             0.41903,            0.036226,            0.019502,           0.0053706,              0.0067,              0.0067,              0.0067
                  52,             0.04023,            0.029172,           0.0060403,             0.79214,             0.70112,             0.76286,             0.42018,            0.035221,            0.019582,           0.0056652,            0.006634,            0.006634,            0.006634
                  53,            0.041119,            0.031168,           0.0061721,             0.87523,              0.6714,             0.75433,             0.43769,            0.034962,            0.019339,           0.0063255,            0.006568,            0.006568,            0.006568
                  54,            0.040768,            0.028954,           0.0064974,             0.81015,             0.70074,             0.76357,             0.42956,            0.034673,            0.019406,           0.0056519,            0.006502,            0.006502,            0.006502
                  55,            0.039512,            0.028318,           0.0058197,             0.80978,             0.66316,             0.73446,             0.41391,            0.036323,            0.020033,           0.0073071,            0.006436,            0.006436,            0.006436
                  56,            0.039717,            0.027279,           0.0059224,             0.83685,             0.69197,             0.75367,             0.43716,            0.034102,            0.019039,           0.0061033,             0.00637,             0.00637,             0.00637
                  57,             0.04099,              0.0297,           0.0052996,             0.82133,             0.72637,             0.76378,             0.44841,            0.034563,            0.019287,           0.0055535,            0.006304,            0.006304,            0.006304
                  58,            0.041354,            0.028379,           0.0058437,             0.79717,             0.71277,             0.74661,             0.43859,            0.034644,            0.019233,           0.0059665,            0.006238,            0.006238,            0.006238
                  59,             0.03916,            0.026499,           0.0058267,             0.82343,             0.69817,             0.76943,             0.44806,            0.033974,             0.01883,           0.0056768,            0.006172,            0.006172,            0.006172
                  60,            0.039706,            0.028672,           0.0056327,             0.79393,             0.68238,             0.73218,             0.42238,            0.035181,            0.019736,           0.0066936,            0.006106,            0.006106,            0.006106
                  61,            0.040407,            0.029114,           0.0069304,             0.80557,             0.70154,             0.76342,             0.44484,             0.03373,            0.018804,           0.0059483,             0.00604,             0.00604,             0.00604
                  62,            0.037858,              0.0287,           0.0050895,             0.85652,             0.69757,              0.7652,             0.44066,            0.034281,            0.019233,           0.0054078,            0.005974,            0.005974,            0.005974
                  63,            0.039591,            0.028186,           0.0051606,             0.84219,             0.71339,             0.77395,             0.43512,            0.035212,            0.018876,           0.0057511,            0.005908,            0.005908,            0.005908
                  64,            0.039396,            0.028652,           0.0053983,             0.81723,             0.72684,             0.76809,             0.43248,            0.035065,            0.018864,           0.0056614,            0.005842,            0.005842,            0.005842
                  65,            0.038792,            0.027078,           0.0055423,              0.8482,             0.66913,             0.74121,             0.42602,            0.035058,            0.019742,           0.0066814,            0.005776,            0.005776,            0.005776
                  66,            0.038916,            0.027229,           0.0048883,             0.85245,             0.69348,             0.75642,             0.44474,             0.03394,             0.01863,           0.0057082,             0.00571,             0.00571,             0.00571
                  67,            0.037165,            0.025592,           0.0048741,             0.85636,             0.70396,             0.78252,             0.44982,             0.03372,            0.019276,           0.0061742,            0.005644,            0.005644,            0.005644
                  68,            0.036305,            0.027219,           0.0051495,             0.87982,             0.71322,              0.7884,             0.45701,            0.033682,            0.018637,           0.0054937,            0.005578,            0.005578,            0.005578
                  69,            0.038237,            0.026758,           0.0058169,             0.85283,             0.72095,             0.77723,             0.44564,            0.033233,             0.01874,           0.0053958,            0.005512,            0.005512,            0.005512
                  70,            0.036984,             0.02676,           0.0051111,              0.8662,             0.70663,              0.7816,             0.45506,            0.033509,            0.019262,           0.0053682,            0.005446,            0.005446,            0.005446
                  71,            0.037772,            0.026792,           0.0050104,             0.83796,             0.70367,             0.77024,             0.45094,            0.033479,            0.018765,            0.005293,             0.00538,             0.00538,             0.00538
                  72,            0.037073,            0.027817,           0.0056507,             0.86669,             0.68358,             0.76658,             0.43913,            0.033365,             0.01876,           0.0056676,            0.005314,            0.005314,            0.005314
                  73,            0.036718,            0.027468,            0.005278,             0.84615,             0.71717,             0.77757,             0.44773,            0.033683,            0.019004,           0.0049754,            0.005248,            0.005248,            0.005248
                  74,            0.036959,            0.026474,           0.0049949,             0.84221,             0.72109,             0.78325,             0.46415,            0.032302,             0.01821,            0.005096,            0.005182,            0.005182,            0.005182
                  75,            0.036896,            0.026008,           0.0044252,             0.87659,             0.70435,             0.78291,             0.44734,            0.033467,            0.018915,           0.0057022,            0.005116,            0.005116,            0.005116
                  76,            0.036695,            0.027145,           0.0049179,             0.80931,             0.73936,             0.77765,             0.45605,            0.033669,            0.018634,           0.0067544,             0.00505,             0.00505,             0.00505
                  77,            0.036962,            0.026921,           0.0051082,             0.82814,             0.70007,             0.76663,             0.45583,            0.032511,            0.018698,           0.0062156,            0.004984,            0.004984,            0.004984
                  78,            0.035118,            0.024994,           0.0049316,             0.86299,             0.71472,             0.78763,             0.47346,            0.032051,            0.018377,           0.0053318,            0.004918,            0.004918,            0.004918
                  79,            0.035812,            0.026695,           0.0042368,             0.85413,             0.73143,              0.7964,             0.47712,            0.032857,            0.018472,           0.0048902,            0.004852,            0.004852,            0.004852
                  80,             0.03517,            0.024671,           0.0039853,             0.84654,             0.74025,             0.79734,             0.47873,             0.03237,            0.018219,             0.00512,            0.004786,            0.004786,            0.004786
                  81,            0.035539,            0.024752,           0.0043416,             0.88544,             0.72953,             0.79721,             0.48442,            0.031911,            0.017944,           0.0050662,             0.00472,             0.00472,             0.00472
                  82,            0.036364,            0.027085,           0.0055315,             0.82652,             0.71929,              0.7778,              0.4609,             0.03218,            0.018533,           0.0054972,            0.004654,            0.004654,            0.004654
                  83,            0.034806,             0.02491,           0.0045764,             0.87962,              0.7226,              0.7973,                0.45,            0.033218,            0.018292,           0.0050144,            0.004588,            0.004588,            0.004588
